AGS;Gemeinde;Jahr;Wohnbevoelkerung_insg;Wohnbevoelkerung_Deutsch;Wohnbevoelkerung _Auslaender
08335043;Konstanz;1975;72543;64913;7630
08335043;Konstanz;1976;70853;63811;7042
08335043;Konstanz;1977;69486;62793;6693
08335043;Konstanz;1978;68057;61637;6420
08335043;Konstanz;1979;67909;61182;6727
08335043;Konstanz;1980;68314;61197;7117
08335043;Konstanz;1981;69439;62211;7228
08335043;Konstanz;1982;69831;62750;7081
08335043;Konstanz;1983;68834;61999;6835
08335043;Konstanz;1984;68261;61503;6758
08335043;Konstanz;1985;68865;61932;6933
08335043;Konstanz;1986;68864;61887;6977
08335043;Konstanz;1987;69054;61867;7187
08335043;Konstanz;1988;70612;63118;7494
08335043;Konstanz;1989;71184;63574;7610
08335043;Konstanz;1990;72196;64272;7924
08335043;Konstanz;1991;72781;64163;8618
08335043;Konstanz;1992;72538;63475;9063
08335043;Konstanz;1993;72290;62850;9440
08335043;Konstanz;1994;72324;62608;9716
08335043;Konstanz;1995;72234;62333;9901
08335043;Konstanz;1996;73051;62952;10099
08335043;Konstanz;1997;73338;63224;10114
08335043;Konstanz;1998;73211;63150;10061
08335043;Konstanz;1999;73439;63186;10253
08335043;Konstanz;2000;73804;63739;10065
08335043;Konstanz;2001;74397;64342;10055
08335043;Konstanz;2002;75180;64938;10242
08335043;Konstanz;2003;75694;65470;10224
08335043;Konstanz;2004;76012;66002;10010
08335043;Konstanz;2005;76117;66315;9802
08335043;Konstanz;2006;76247;66628;9619
08335043;Konstanz;2007;76548;66881;9667
08335043;Konstanz;2008;77677;67951;9726
08335043;Konstanz;2009;78414;68613;9801
08335043;Konstanz;2010;79390;69721;9669
08335043;Konstanz;2011;80100;70229;9871
08335043;Konstanz;2012;81139;71099;10040
08335043;Konstanz;2013;82557;71903;10654
08335043;Konstanz;2014;83179;72092;11087
08335043;Konstanz;2015;84290;72286;12004
08335043;Konstanz;2016;85478;72701;12777
08335043;Konstanz;2017;85892;72795;13097
08335043;Konstanz;2018;86190;72718;13472
